,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Bloomington Jefferson,9,4,W,Home,2018,Thu Apr 12
1,Bloomington Kennedy,12,10,W,Away,2018,Sat Apr 21
2,Eastview,12,8,W,Home,2018,Tue May  1
3,Shakopee,10,2,W,Home,2018,Tue May  8
4,Brainerd,24,0,W,Home,2018,Sat May 12
5,Burnsville,16,8,W,Away,2018,Thu May 17
6,Prior Lake,6,3,W,Home,2018,Thu May 24
7,Farmington,14,2,W,Away,2018,Thu Apr 26
8,Eagan,4,16,L,Away,2018,Thu May  3
9,Lakeville South,15,6,W,Away,2018,Thu May 10
10,Lakeville North,5,9,L,Away,2018,Tue May 15
11,Apple Valley,14,2,W,Away,2018,Tue May 22
12,Bloomington Kennedy,17,3,W,Away,2019,Tue Apr 16
13,Minnetonka,7,13,L,Away,2019,Sat Apr 20
14,Lakeville South,11,12,L,Home,2019,Thu Apr 25
15,Farmington,10,5,W,Home,2019,Thu May  2
16,Eastview,13,8,W,Away,2019,Fri May 10
17,Apple Valley,19,4,W,Home,2019,Thu May 16
18,Edina,13,8,W,Home,2019,Thu May 23
19,Bloomington Jefferson,9,2,W,Away,2019,Wed Apr 17
20,Lakeville North,11,14,L,Home,2019,Tue Apr 23
21,Burnsville,17,4,W,Away,2019,Tue Apr 30
22,Prior Lake,5,10,L,Home,2019,Tue May  7
23,Eagan,7,10,L,Home,2019,Tue May 14
24,Shakopee,12,5,W,Away,2019,Tue May 21
