,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Louis Park,7,6,W,Away,2018,Mon Apr 23
1,Forest Lake,10,5,W,Home,2018,Fri Apr 27
2,Cretin-Derham Hall,5,9,L,Away,2018,Thu May  3
3,Mounds View,5,8,L,Home,2018,Tue May  8
4,Providence Academy,22,8,W,Home,2018,Sat May 12
5,Park of Cottage Grove,10,11,L,Home,2018,Thu May 17
6,Hill-Murray,7,6,W,Home,2018,Wed May 23
7,Woodbury,5,4,W,Away,2018,Thu Apr 26
8,St. Paul,9,2,W,Away,2018,Tue May  1
9,Tartan,16,3,W,Home,2018,Sat May  5
10,White Bear Lake,7,10,L,Away,2018,Thu May 10
11,Stillwater,5,18,L,Home,2018,Tue May 15
12,East Ridge,7,12,L,Away,2018,Mon May 21
13,TrIMAC,16,2,W,Away,2019,Tue Apr 16
14,Forest Lake,8,6,W,Away,2019,Tue Apr 23
15,Mounds View,7,14,L,Away,2019,Mon May  6
16,Spring Lake Park,15,3,W,Home,2019,Fri May 10
17,Park of Cottage Grove,10,2,W,Home,2019,Thu May 16
18,Breck,9,10,L,Home,2019,Thu May 23
19,North St. Paul,17,3,W,Away,2019,Thu Apr 18
20,Woodbury,2,12,L,Home,2019,Sat Apr 27
21,Cretin-Derham Hall,8,9,L,Home,2019,Thu May  2
22,White Bear Lake,3,13,L,Home,2019,Wed May  8
23,Stillwater,3,14,L,Away,2019,Tue May 14
24,East Ridge,8,9,L,Home,2019,Tue May 21
25,St. Paul,11,4,W,Home,2019,Sat May 25
