,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Michael-Albertville,0,23,L,Away,2018,Wed Apr 18
1,Rogers,4,16,L,Home,2018,Mon Apr 30
2,Chisago Lakes,8,15,L,Home,2018,Fri May  4
3,Duluth,3,19,L,Home,2018,Tue May  8
4,Delano Rockford,3,14,L,Home,2018,Tue May 15
5,Monticello,4,15,L,Away,2018,Thu May 17
6,Hutchinson,17,4,W,Home,2018,Tue May 22
7,Rocori,4,11,L,Away,2018,Fri Apr 27
8,Holy Family,7,4,W,Away,2018,Thu May  3
9,Becker,8,14,L,Home,2018,Mon May  7
10,Buffalo,5,19,L,Away,2018,Thu May 10
11,St. Cloud,9,10,L,Home,2018,Wed May 16
12,Brainerd,10,2,W,Away,2018,Fri May 18
13,Moorhead,3,16,L,Away,2019,Tue Apr 16
14,Big Lake,10,9,W,Home,2019,Thu Apr 25
15,Buffalo,3,19,L,Away,2019,Mon May  6
16,Becker,0,13,L,Home,2019,Tue May 14
17,St. Cloud,2,7,L,Away,2019,Thu May 16
18,Rocori,3,15,L,Away,2019,Fri May 24
19,St. Michael-Albertville,0,28,L,Away,2019,Mon Apr 22
20,Monticello,2,7,L,Away,2019,Mon Apr 29
21,Brainerd,7,5,W,Away,2019,Thu May  9
22,Rogers,1,17,L,Home,2019,Wed May 15
23,Rocori,5,15,L,Home,2019,Mon May 20
