,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Hopkins,17,3,W,Home,2018,Tue Apr 24
1,Northfield,19,7,W,Away,2018,Sat Apr 28
2,Apple Valley,8,9,L,Away,2018,Fri May  4
3,Burnsville,9,6,W,Away,2018,Thu May 10
4,Prior Lake,3,14,L,Home,2018,Tue May 15
5,Farmington,11,4,W,Home,2018,Tue May 22
6,Lakeville South,10,13,L,Home,2018,Thu Apr 26
7,Eagan,3,26,L,Away,2018,Tue May  1
8,Rosemount,2,10,L,Away,2018,Tue May  8
9,Chaska,11,7,W,Home,2018,Fri May 11
10,Lakeville North,6,10,L,Home,2018,Fri May 18
11,Eastview,7,17,L,Away,2018,Thu May 24
12,Chaska,20,5,W,Away,2019,Tue Apr 16
13,Prior Lake,4,16,L,Away,2019,Tue Apr 23
14,Lakeville North,10,11,L,Away,2019,Tue Apr 30
15,Eastview,12,9,W,Away,2019,Tue May  7
16,Apple Valley,17,8,W,Away,2019,Tue May 14
17,Owatonna,13,1,W,Away,2019,Sat May 18
18,Delano Rockford,19,3,W,Home,2019,Thu May 23
19,Hopkins,30,3,W,Away,2019,Sat Apr 20
20,Burnsville,13,4,W,Home,2019,Thu Apr 25
21,Lakeville South,15,14,W,Away,2019,Thu May  2
22,Eagan,13,7,W,Home,2019,Thu May  9
23,Farmington,10,3,W,Away,2019,Thu May 16
24,Rosemount,5,12,L,Home,2019,Tue May 21
25,Chaska,18,3,W,Home,2019,Wed May 29
