,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Cretin-Derham Hall,5,14,L,Home,2018,Sat Apr 21
1,North St. Paul,19,0,W,Away,2018,Mon Apr 30
2,Duluth,6,13,L,Away,2018,Sat May  5
3,East Ridge,9,16,L,Away,2018,Sat May 12
4,Mahtomedi,9,18,L,Away,2018,Fri May 18
5,Minneapolis,14,10,W,Away,2018,Wed May 23
6,Hastings,7,18,L,Home,2018,Mon Apr 23
7,St. Thomas Academy,3,12,L,Away,2018,Wed May  2
8,Hill-Murray,10,8,W,Home,2018,Tue May  8
9,Tartan,10,9,W,Home,2018,Wed May 16
10,Park of Cottage Grove,5,7,L,Away,2018,Mon May 21
11,Woodbury,4,5,L,Home,2019,Thu Apr 18
12,Henry Sibley,15,1,W,Away,2019,Thu Apr 25
13,North St. Paul,17,2,W,Home,2019,Mon Apr 29
14,Eagan,1,17,L,Home,2019,Fri May  3
15,Hill-Murray,16,0,W,Away,2019,Tue May  7
16,Mahtomedi,6,12,L,Home,2019,Fri May 17
17,East Ridge,9,13,L,Home,2019,Wed May 22
18,TrIMAC,19,4,W,Home,2019,Sat Apr 20
19,Park of Cottage Grove,1,7,L,Home,2019,Fri Apr 26
20,St. Thomas Academy,7,16,L,Home,2019,Wed May  1
21,Hastings,13,11,W,Away,2019,Mon May  6
22,Tartan,12,8,W,Away,2019,Wed May 15
23,Cretin-Derham Hall,4,8,L,Away,2019,Tue May 21
