,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Providence Academy,13,19,L,Home,2019,Tue Apr 23
1,North St. Paul,18,3,W,Away,2019,Fri Apr 26
2,TrIMAC,15,14,W,Home,2019,Mon May  6
3,Minneapolis,3,22,L,Away,2019,Thu May  9
4,Chaska,6,13,L,Home,2019,Tue May 14
5,Waconia,8,7,W,Home,2019,Fri May 17
6,Henry Sibley,4,7,L,Away,2019,Tue May 21
7,Hopkins,8,9,L,Away,2019,Thu Apr 25
8,St. Paul,5,7,L,Away,2019,Wed May  1
9,Delano Rockford,5,15,L,Away,2019,Tue May  7
10,Holy Family,14,13,W,Home,2019,Mon May 13
11,Blake,1,18,L,Away,2019,Thu May 16
