,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Southwest Christian,18,2,W,Home,2018,Fri Apr 13
1,Irondale,7,15,L,Home,2018,Fri Apr 27
2,Totino-Grace,8,10,L,Away,2018,Wed May  2
3,Grand Rapids,5,7,L,Home,2018,Mon May  7
4,Andover,6,7,L,Home,2018,Fri May 11
5,Champlin Park,6,10,L,Away,2018,Thu May 17
6,Centennial,4,12,L,Home,2018,Wed May 23
7,Osseo Park Center,5,8,L,Home,2018,Wed Apr 25
8,Maple Grove,5,10,L,Away,2018,Mon Apr 30
9,Elk River Zimmerman,1,16,L,Away,2018,Fri May  4
10,Anoka,5,11,L,Away,2018,Wed May  9
11,Blaine,2,11,L,Away,2018,Wed May 16
12,Robbinsdale Armstrong,4,7,L,Home,2018,Mon May 21
13,Irondale,3,19,L,Home,2019,Fri Apr 12
14,Champlin Park,6,5,W,Away,2019,Mon Apr 22
15,Robbinsdale Armstrong,6,18,L,Home,2019,Sat Apr 27
16,Andover,2,16,L,Home,2019,Wed May  1
17,Roseville,3,15,L,Away,2019,Fri May 10
18,Centennial,5,24,L,Away,2019,Mon May 20
19,Maple Grove,2,15,L,Home,2019,Fri May 24
20,Totino-Grace,2,11,L,Home,2019,Mon Apr 15
21,Anoka,5,12,L,Home,2019,Wed Apr 24
22,Coon Rapids,6,5,W,Away,2019,Mon Apr 29
23,Osseo Park Center,5,16,L,Away,2019,Mon May  6
24,Elk River Zimmerman,3,13,L,Away,2019,Mon May 13
25,Blaine,3,13,L,Home,2019,Wed May 22
