,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rocori,10,7,W,Home,2018,Tue Apr 17
1,Brainerd,17,4,W,Home,2018,Mon Apr 23
2,Chisago Lakes,5,7,L,Away,2018,Mon Apr 30
3,Rocori,5,9,L,Away,2018,Thu May  3
4,Holy Family,10,1,W,Away,2018,Thu May 10
5,Sartell Sauk Rapids,10,9,W,Away,2018,Wed May 16
6,Delano Rockford,1,8,L,Home,2018,Mon May 21
7,Hutchinson,14,2,W,Home,2018,Fri Apr 20
8,St. Michael-Albertville,3,23,L,Home,2018,Thu Apr 26
9,TrIMAC,5,14,L,Away,2018,Tue May  1
10,Rogers,5,17,L,Home,2018,Mon May  7
11,Becker,3,4,L,Home,2018,Fri May 11
12,Buffalo,7,18,L,Away,2018,Thu May 17
13,Chisago Lakes,3,13,L,Away,2019,Mon Apr 22
14,Rogers,4,17,L,Home,2019,Mon Apr 29
15,Becker,3,10,L,Away,2019,Mon May  6
16,Brainerd,8,5,W,Home,2019,Mon May 13
17,Sartell Sauk Rapids,7,2,W,Home,2019,Thu May 16
18,Rocori,2,8,L,Away,2019,Wed May 22
19,St. Michael-Albertville,1,20,L,Home,2019,Thu Apr 25
20,Monticello,4,6,L,Home,2019,Thu May  2
21,Buffalo,3,9,L,Home,2019,Tue May  7
22,Moorhead,5,4,W,Home,2019,Tue May 14
23,TrIMAC,9,8,W,Home,2019,Mon May 20
24,Big Lake,18,5,W,Home,2019,Thu May 23
