,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Holy Angels,6,21,L,Away,2018,Tue Apr 17
1,Roseville,6,7,L,Home,2018,Mon Apr 23
2,Orono,3,13,L,Home,2018,Thu May  3
3,Breck,8,5,W,Away,2018,Fri May 11
4,Hopkins,8,4,W,Away,2018,Wed May 16
5,Bloomington Kennedy,8,17,L,Away,2018,Tue May 22
6,Benilde-St. Margarets,2,15,L,Home,2018,Thu Apr 19
7,Minneapolis,6,13,L,Home,2018,Tue May  1
8,Chaska,7,15,L,Away,2018,Tue May  8
9,Chanhassen,2,18,L,Home,2018,Tue May 15
10,Providence Academy,23,10,W,Home,2018,Fri May 18
11,Bloomington Jefferson,3,14,L,Away,2018,Thu May 24
12,Hopkins,4,9,L,Home,2019,Tue Apr 16
13,Totino-Grace,6,18,L,Home,2019,Mon Apr 22
14,Tartan,1,13,L,Away,2019,Fri Apr 26
15,Minneapolis,0,21,L,Away,2019,Tue Apr 30
16,Chaska,1,14,L,Home,2019,Mon May  6
17,Chanhassen,0,19,L,Away,2019,Tue May 14
18,Benilde-St. Margarets,0,25,L,Away,2019,Thu Apr 18
19,St. Paul,2,9,L,Away,2019,Thu Apr 25
20,Providence Academy,0,20,L,Away,2019,Sat Apr 27
21,Osseo Park Center,2,23,L,Away,2019,Fri May  3
22,Burnsville,1,18,L,Away,2019,Mon May 13
23,Bloomington Jefferson,0,20,L,Home,2019,Thu May 23
