,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Sartell Sauk Rapids,23,0,W,Home,2018,Wed Apr 18
1,Chisago Lakes,17,1,W,Away,2018,Mon Apr 23
2,St. Cloud,23,3,W,Away,2018,Thu Apr 26
3,Rogers,16,4,W,Away,2018,Thu May  3
4,Becker,20,2,W,Away,2018,Thu May 10
5,Buffalo,26,1,W,Home,2018,Tue May 15
6,Monticello,23,1,W,Home,2018,Tue May 22
7,Orono,8,4,W,Home,2018,Tue Apr 24
8,Rocori,18,0,W,Home,2018,Mon Apr 30
9,Holy Family,20,1,W,Home,2018,Mon May  7
10,Brainerd,28,2,W,Home,2018,Fri May 11
11,Delano Rockford,14,0,W,Away,2018,Thu May 17
12,Hutchinson,16,0,W,Away,2018,Thu May 24
13,Sartell Sauk Rapids,28,0,W,Home,2019,Mon Apr 22
14,St. Cloud,20,1,W,Away,2019,Thu Apr 25
15,Buffalo,15,1,W,Away,2019,Thu May  9
16,Monticello,15,2,W,Home,2019,Tue May 14
17,Mahtomedi,9,10,L,Away,2019,Sat May 18
18,Minnetonka,4,9,L,Away,2019,Thu May 23
19,Brainerd,20,0,W,Away,2019,Fri May 24
20,Eden Prairie,4,9,L,Away,2019,Tue Apr 23
21,Chisago Lakes,17,2,W,Home,2019,Tue Apr 30
22,Rogers,19,9,W,Home,2019,Mon May 13
23,Big Lake,21,1,W,Away,2019,Wed May 15
24,Becker,13,5,W,Home,2019,Tue May 21
