,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,North St. Paul,15,3,W,Home,2018,Mon Apr 23
1,Roseville,2,9,L,Home,2018,Tue May  1
2,Breck,5,9,L,Away,2018,Mon May  7
3,Grand Rapids,7,6,W,Away,2018,Sat May 12
4,Minneapolis,10,15,L,Home,2018,Sat May 19
5,Hopkins,4,3,W,Away,2018,Thu Apr 26
6,Coon Rapids,8,5,W,Home,2018,Fri May  4
7,TrIMAC,7,9,L,Home,2018,Thu May 10
8,Hermantown Proctor,6,10,L,Home,2018,Thu May 17
9,Mankato,10,5,W,Away,2018,Tue May 22
10,Grand Rapids,4,3,W,Home,2019,Sat Apr 20
11,Mankato,6,7,L,Home,2019,Mon Apr 29
12,Henry Sibley,7,4,W,Away,2019,Sat May  4
13,Hopkins,0,4,L,Home,2019,Tue May 14
14,Hermantown Proctor,8,13,L,Home,2019,Sat May 18
15,TrIMAC,10,11,L,Away,2019,Fri May 24
16,St. Louis Park,9,2,W,Home,2019,Thu Apr 25
17,Southwest Christian,7,5,W,Home,2019,Wed May  1
18,Rochester JM Lourdes,9,5,W,Home,2019,Wed May  8
19,Henry Sibley,6,5,W,Home,2019,Wed May 15
20,Hill-Murray,8,10,L,Home,2019,Tue May 21
21,Roseville,4,11,L,Away,2019,Sat May 25
