,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Holy Angels,11,14,L,Away,2018,Fri Apr 13
1,Hill-Murray,14,6,W,Away,2018,Thu Apr 26
2,Tartan,13,0,W,Home,2018,Mon Apr 30
3,Bloomington Kennedy,9,5,W,Home,2018,Sat May  5
4,North St. Paul,18,1,W,Away,2018,Tue May  8
5,Cretin-Derham Hall,13,6,W,Home,2018,Mon May 14
6,Woodbury,11,4,W,Home,2018,Sat May 19
7,Mahtomedi,6,10,L,Away,2018,Tue Apr 24
8,Owatonna,9,3,W,Home,2018,Sat Apr 28
9,Simley,12,3,W,Home,2018,Wed May  2
10,Orono,12,10,W,Home,2018,Mon May  7
11,Farmington,11,0,W,Away,2018,Sat May 12
12,Hastings,11,10,W,Home,2018,Wed May 16
13,Holy Angels,12,1,W,Away,2019,Fri Apr 12
14,Mahtomedi,10,7,W,Home,2019,Tue Apr 23
15,Tartan,15,2,W,Away,2019,Mon Apr 29
16,Lakeville North,12,6,W,Away,2019,Sat May  4
17,Henry Sibley,18,0,W,Home,2019,Thu May  9
18,Hastings,15,3,W,Away,2019,Wed May 15
19,Cretin-Derham Hall,12,5,W,Away,2019,Thu May 23
20,Farmington,7,6,W,Home,2019,Tue Apr 16
21,Hill-Murray,18,0,W,Home,2019,Thu Apr 25
22,Simley,16,7,W,Away,2019,Wed May  1
23,North St. Paul,22,0,W,Home,2019,Tue May  7
24,Stillwater,7,16,L,Away,2019,Sat May 11
25,East Ridge,5,9,L,Away,2019,Mon May 20
