,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Lakeville South,14,4,W,Home,2018,Sat Apr 21
1,East Ridge,7,4,W,Home,2018,Thu Apr 26
2,Forest Lake,19,2,W,Home,2018,Thu May  3
3,Mahtomedi,8,16,L,Home,2018,Wed May  9
4,Roseville,18,5,W,Away,2018,Tue May 15
5,Eden Prairie,5,7,L,Away,2018,Sat May 19
6,Park of Cottage Grove,10,5,W,Away,2018,Wed May 23
7,Cretin-Derham Hall,19,4,W,Away,2018,Tue Apr 24
8,Mounds View,21,6,W,Away,2018,Mon Apr 30
9,White Bear Lake,13,2,W,Away,2018,Mon May  7
10,Woodbury,16,3,W,Home,2018,Thu May 10
11,Orono,18,8,W,Home,2018,Thu May 17
12,Tartan,14,2,W,Away,2018,Mon May 21
13,Mahtomedi,13,6,W,Away,2019,Thu Apr 18
14,East Ridge,13,6,W,Away,2019,Thu Apr 25
15,Forest Lake,17,2,W,Away,2019,Thu May  2
16,St. Thomas Academy,16,7,W,Home,2019,Sat May 11
17,Chanhassen,21,9,W,Home,2019,Thu May 16
18,Wayzata,11,10,W,Away,2019,Thu May 23
19,Cretin-Derham Hall,16,6,W,Home,2019,Tue Apr 23
20,Mounds View,13,4,W,Home,2019,Tue Apr 30
21,Lakeville South,15,8,W,Away,2019,Sat May  4
22,Woodbury,14,2,W,Away,2019,Thu May  9
23,Roseville,14,3,W,Home,2019,Tue May 14
24,Park of Cottage Grove,17,4,W,Home,2019,Tue May 21
