,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,White Bear Lake,0,18,L,Home,2018,Thu Apr 12
1,Hastings,4,19,L,Home,2018,Wed Apr 25
2,St. Thomas Academy,0,13,L,Away,2018,Mon Apr 30
3,Park of Cottage Grove,1,17,L,Home,2018,Thu May  3
4,Mahtomedi,4,18,L,Home,2018,Tue May  8
5,Simley,9,10,L,Away,2018,Wed May 16
6,East Ridge,2,12,L,Away,2018,Wed May 23
7,Hill-Murray,6,7,L,Home,2018,Mon Apr 23
8,Mounds View,3,14,L,Away,2018,Fri Apr 27
9,Duluth,3,4,L,Home,2018,Tue May  1
10,Roseville,3,16,L,Away,2018,Sat May  5
11,North St. Paul,15,2,W,Away,2018,Thu May 10
12,Stillwater,2,14,L,Home,2018,Mon May 21
13,East Ridge,3,16,L,Home,2019,Tue Apr 16
14,Hill-Murray,8,0,W,Away,2019,Mon Apr 22
15,St. Louis Park,13,1,W,Home,2019,Fri Apr 26
16,Henry Sibley,15,2,W,Away,2019,Wed May  1
17,Hermantown Proctor,11,9,W,Away,2019,Sat May  4
18,North St. Paul,19,0,W,Home,2019,Thu May  9
19,Anoka,17,4,W,Away,2019,Tue May 21
20,Park of Cottage Grove,3,9,L,Away,2019,Thu Apr 18
21,Hastings,9,12,L,Away,2019,Thu Apr 25
22,St. Thomas Academy,2,15,L,Home,2019,Mon Apr 29
23,Duluth,2,14,L,Home,2019,Fri May  3
24,Mahtomedi,4,12,L,Away,2019,Tue May  7
25,Simley,8,12,L,Home,2019,Wed May 15
