,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Holy Angels,5,17,L,Home,2018,Fri Apr 20
1,Spring Lake Park,10,8,W,Home,2018,Wed May  2
2,Elk River Zimmerman,2,10,L,Home,2018,Sat May  5
3,Andover,7,16,L,Away,2018,Wed May  9
4,Champlin Park,7,18,L,Home,2018,Sat May 12
5,Anoka,15,11,W,Home,2018,Mon May 21
6,Irondale,4,18,L,Away,2018,Sat Apr 21
7,Maple Grove,5,10,L,Away,2018,Wed Apr 25
8,Irondale,7,17,L,Away,2018,Fri May  4
9,Osseo Park Center,5,11,L,Away,2018,Mon May  7
10,Centennial,14,13,W,Away,2018,Thu May 10
11,Robbinsdale Armstrong,9,14,L,Away,2018,Wed May 16
12,Blaine,3,14,L,Home,2018,Wed May 23
13,Spring Lake Park,11,2,W,Away,2019,Mon Apr 15
14,St. Louis Park,18,6,W,Away,2019,Mon Apr 22
15,Champlin Park,2,9,L,Away,2019,Mon Apr 29
16,Blaine,2,19,L,Away,2019,Fri May  3
17,Osseo Park Center,6,11,L,Away,2019,Mon May 13
18,Elk River Zimmerman,8,13,L,Away,2019,Mon May 20
19,Andover,5,14,L,Home,2019,Thu May 23
20,Irondale,0,20,L,Home,2019,Wed Apr 17
21,Robbinsdale Armstrong,6,11,L,Home,2019,Wed Apr 24
22,Anoka,8,9,L,Home,2019,Wed May  1
23,Coon Rapids,9,13,L,Away,2019,Mon May  6
24,Maple Grove,1,14,L,Away,2019,Wed May 15
25,Centennial,2,15,L,Away,2019,Wed May 22
