,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Cloud,14,5,W,Home,2018,Tue May  1
1,Cretin-Derham Hall,2,15,L,Away,2018,Fri May  4
2,St. Paul,9,7,W,Away,2018,Thu May 10
3,Woodbury,10,16,L,Home,2018,Mon May 14
4,Minneapolis,7,21,L,Away,2018,Mon May 21
5,Breck,4,9,L,Home,2018,Thu May 24
6,Breck,5,7,L,Away,2018,Fri Apr 27
7,Providence Academy,11,12,L,Home,2018,Thu May  3
8,Hermantown Proctor,10,11,L,Away,2018,Sat May  5
9,Hastings,6,17,L,Home,2018,Fri May 11
10,Blake,2,20,L,Away,2018,Wed May 16
11,Providence Academy,13,14,L,Away,2018,Tue May 22
12,Roseville,2,16,L,Home,2019,Tue Apr 16
13,Simley,4,19,L,Away,2019,Sat Apr 20
14,Breck,6,15,L,Home,2019,Thu Apr 25
15,Hastings,12,18,L,Away,2019,Fri May  3
16,Henry Sibley,15,4,W,Home,2019,Mon May 13
17,Waconia,10,11,L,Home,2019,Wed May 22
18,St. Paul,11,10,W,Home,2019,Fri May 24
19,Blake,1,24,L,Away,2019,Thu Apr 18
20,Hermantown Proctor,9,19,L,Home,2019,Wed Apr 24
21,Providence Academy,3,16,L,Away,2019,Thu May  2
22,Southwest Christian,14,15,L,Away,2019,Mon May  6
23,St. Cloud,8,9,L,Away,2019,Mon May 20
24,North St. Paul,19,7,W,Home,2019,Thu May 23
