,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Breck,0,15,L,Away,2019,Mon Apr 15
1,Holy Family,3,9,L,Home,2019,Mon Apr 22
2,Orono,5,16,L,Home,2019,Mon May  6
3,Delano Rockford,0,16,L,Away,2019,Mon May 13
4,Southwest Christian,7,8,L,Away,2019,Fri May 17
5,Orono,3,16,L,Away,2019,Thu May 23
6,Providence Academy,6,16,L,Away,2019,Tue Apr 16
7,Delano Rockford,2,15,L,Home,2019,Thu Apr 25
8,Mankato,6,17,L,Away,2019,Fri May 10
9,Rocori,7,10,L,Home,2019,Tue May 14
10,TrIMAC,11,10,W,Away,2019,Wed May 22
