,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Eden Prairie,7,6,W,Away,2018,Thu Apr 19
1,Lakeville North,12,6,W,Away,2018,Mon Apr 23
2,Mahtomedi,13,14,L,Home,2018,Sat Apr 28
3,Eden Prairie,10,3,W,Home,2018,Thu May  3
4,Chanhassen,6,10,L,Home,2018,Thu May 10
5,Edina,9,6,W,Away,2018,Tue May 15
6,White Bear Lake,16,5,W,Away,2018,Mon May 21
7,Minnetonka,11,9,W,Away,2018,Sat Apr 21
8,Edina,6,5,W,Home,2018,Thu Apr 26
9,Hopkins,17,0,W,Away,2018,Tue May  1
10,Minnetonka,10,11,L,Home,2018,Tue May  8
11,Blaine,15,2,W,Home,2018,Sat May 12
12,Hopkins,19,0,W,Home,2018,Thu May 17
13,Eden Prairie,2,9,L,Away,2019,Thu Apr 18
14,Minnetonka,3,10,L,Home,2019,Tue Apr 23
15,Edina,5,4,W,Away,2019,Sat Apr 27
16,Mahtomedi,7,9,L,Away,2019,Sat May  4
17,Chanhassen,4,9,L,Home,2019,Thu May  9
18,Hopkins,14,1,W,Away,2019,Thu May 16
19,Lakeville North,10,7,W,Home,2019,Sat Apr 20
20,White Bear Lake,5,8,L,Home,2019,Thu Apr 25
21,Eden Prairie,2,5,L,Home,2019,Thu May  2
22,Minnetonka,6,8,L,Home,2019,Tue May  7
23,Edina,9,10,L,Home,2019,Tue May 14
24,Stillwater,10,11,L,Home,2019,Thu May 23
