,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Tartan,18,0,W,Away,2018,Thu Apr 12
1,Woodbury,13,2,W,Home,2018,Tue Apr 24
2,Cretin-Derham Hall,21,8,W,Home,2018,Tue May  1
3,Stillwater,2,13,L,Home,2018,Mon May  7
4,Mahtomedi,5,18,L,Away,2018,Mon May 14
5,East Ridge,6,8,L,Home,2018,Thu May 17
6,Forest Lake,17,5,W,Away,2018,Tue May 22
7,Robbinsdale Armstrong,17,2,W,Home,2018,Sat Apr 21
8,Lakeville South,14,13,W,Home,2018,Fri Apr 27
9,Mounds View,13,7,W,Away,2018,Thu May  3
10,Roseville,10,7,W,Home,2018,Thu May 10
11,Park of Cottage Grove,5,13,L,Away,2018,Tue May 15
12,Wayzata,5,16,L,Home,2018,Mon May 21
13,Hill-Murray,15,1,W,Home,2019,Thu Apr 18
14,Woodbury,7,6,W,Away,2019,Tue Apr 23
15,Cretin-Derham Hall,7,10,L,Away,2019,Tue Apr 30
16,Park of Cottage Grove,12,6,W,Home,2019,Tue May 14
17,Duluth,10,6,W,Home,2019,Sat May 18
18,Chisago Lakes,19,3,W,Home,2019,Wed May 22
19,Grand Rapids,16,0,W,Home,2019,Fri Apr 19
20,Wayzata,8,5,W,Away,2019,Thu Apr 25
21,Mounds View,11,5,W,Home,2019,Thu May  2
22,Roseville,13,3,W,Away,2019,Wed May  8
23,East Ridge,8,9,L,Away,2019,Thu May 16
24,Forest Lake,17,7,W,Home,2019,Tue May 21
