,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Prior Lake,6,13,L,Home,2018,Mon Apr 23
1,Roseville,4,5,L,Home,2018,Thu Apr 26
2,East Ridge,3,8,L,Home,2018,Thu May  3
3,Stillwater,3,16,L,Away,2018,Thu May 10
4,Cretin-Derham Hall,11,10,W,Away,2018,Thu May 17
5,Mounds View,4,5,L,Home,2018,Tue May 22
6,White Bear Lake,2,13,L,Away,2018,Tue Apr 24
7,Park of Cottage Grove,9,10,L,Away,2018,Tue May  1
8,Forest Lake,11,8,W,Away,2018,Tue May  8
9,TrIMAC,16,10,W,Away,2018,Mon May 14
10,St. Thomas Academy,4,11,L,Away,2018,Sat May 19
11,Eden Prairie,4,13,L,Away,2019,Tue Apr 16
12,Duluth,8,7,W,Home,2019,Sat Apr 20
13,Roseville,12,2,W,Away,2019,Sat Apr 27
14,East Ridge,6,12,L,Away,2019,Thu May  2
15,Stillwater,2,14,L,Home,2019,Thu May  9
16,Hastings,11,5,W,Away,2019,Mon May 13
17,Mounds View,4,11,L,Away,2019,Tue May 21
18,Simley,5,4,W,Away,2019,Thu Apr 18
19,White Bear Lake,6,7,L,Home,2019,Tue Apr 23
20,Park of Cottage Grove,9,7,W,Home,2019,Tue Apr 30
21,Forest Lake,9,3,W,Home,2019,Tue May  7
22,Blaine,6,12,L,Away,2019,Sat May 11
23,Cretin-Derham Hall,7,6,W,Home,2019,Thu May 16
